Official Symbol Interactor A,Official Symbol Interactor B,Interactor A Encoded,Interactor B Encoded,Prediction_Prob,Prediction
HIPK1,HCN2,1089,1076,0.99,1
HIPK1,GSTM5,1089,1046,0.99,1
HIPK1,Gsk3b,1089,1060,0.99,1
HIPK1,HSPA4L,1089,1126,1.0,1
HIPK1,HHIP,1089,1087,1.0,1
HIPK1,"ARG5,6",1089,126,0.98,1
HIPK1,HDA3,1089,1078,0.99,1
HIPK1,GSTM3,1089,1045,0.99,1
HIPK1,ARFIP1,1089,124,0.98,1
HIPK1,ALDH1A3,1089,80,0.98,1
HIPK1,HSP90AA1,1089,1120,1.0,1
HIPK1,ARHGAP10,1089,127,0.98,1
HIPK1,HIF1A,1089,1088,1.0,1
HIPK1,Gfap,1089,1057,0.99,1
HIPK1,H2-Aa,1089,1062,0.99,1
HIPK1,Gm4779,1089,1058,0.99,1
HIPK1,AKT1S1,1089,77,0.98,1
HIPK1,GSN,1089,1042,1.0,1
HIPK1,HAUS5,1089,1071,0.99,1
HIPK1,HSPA5,1089,1127,1.0,1
HIPK1,GSTA1,1089,1043,1.0,1
HIPK1,Gm8129,1089,1059,0.99,1
HIPK1,HAP1,1089,1066,1.0,1
HIPK1,ARHGDIB,1089,131,0.98,1
HIPK1,HAUS8,1089,1074,0.99,1
HIPK1,GRXCR1,1089,1039,1.0,1
HIPK1,GUCY2F,1089,1055,0.99,1
HIPK1,HAVCR1,1089,1075,0.99,1
HIPK1,GSF2,1089,1040,1.0,1
HIPK1,HSPA12B,1089,1124,1.0,1
HIPK1,HAUS4,1089,1070,0.99,1
HIPK1,HSP90AB1,1089,1122,1.0,1
HIPK1,APOO,1089,117,0.98,1
HIPK1,HAL,1089,1065,0.99,1
HIPK1,HSP90AA5P,1089,1121,1.0,1
HIPK1,HTT,1089,1133,1.0,1
HIPK1,HSPA1L,1089,1125,1.0,1
HIPK1,ARF5,1089,122,0.98,1
HIPK1,H2afj,1089,1064,0.99,1
HIPK1,H2AFJ,1089,1063,0.99,1
HIPK1,GUCY2D,1089,1054,0.99,1
HIPK1,ARG1,1089,125,0.98,1
HIPK1,ALAS2,1089,78,0.98,1
HIPK1,GUCA1A,1089,1050,0.99,1
HIPK1,GYPA,1089,1056,0.99,1
HIPK1,HAUS7,1089,1073,0.99,1
HIPK1,GTT1,1089,1049,0.99,1
HIPK1,HAUS6,1089,1072,0.99,1
HIPK1,GTF2E1,1089,1047,0.99,1
HIPK1,ALDH1A1,1089,79,0.98,1
HIPK1,ARAF,1089,119,0.98,1
HIPK1,APOL1,1089,116,0.98,1
HIPK1,ARHGAP27,1089,128,0.98,1
HIPK1,Gtf2e2,1089,1061,0.99,1
HIPK1,HSPBP1,1089,1130,1.0,1
HIPK1,HCST,1089,1077,0.99,1
HIPK1,HSPB11,1089,1129,1.0,1
HIPK1,HAUS1,1089,1067,1.0,1
HIPK1,HDDC3,1089,1080,1.0,1
NPHP4,HUWE1,1585,1134,0.99,1
NPHP4,HSP90B1,1585,1123,1.0,1
NPHP4,HSPA8,1585,1128,1.0,1
NPHP4,HSPA4L,1585,1126,1.0,1
NPHP4,HSP90AA1,1585,1120,1.0,1
NPHP4,HSPA5,1585,1127,1.0,1
NPHP4,HSPA12B,1585,1124,1.0,1
NPHP4,HSP90AB1,1585,1122,1.0,1
NPHP4,HTR6,1585,1131,0.98,1
NPHP4,HSP90AA5P,1585,1121,1.0,1
NPHP4,HTT,1585,1133,0.99,1
NPHP4,HSPA1L,1585,1125,1.0,1
NPHP4,HSPBP1,1585,1130,1.0,1
NPHP4,HSPB11,1585,1129,1.0,1
GLI2,HSP90B1,983,1123,1.0,1
GLI2,HSPA8,983,1128,0.98,1
GLI2,HDAC6,983,1079,1.0,1
GLI2,HCN2,983,1076,1.0,1
GLI2,HSPA4L,983,1126,1.0,1
GLI2,HHIP,983,1087,1.0,1
GLI2,HDA3,983,1078,1.0,1
GLI2,HSP90AA1,983,1120,1.0,1
GLI2,HIF1A,983,1088,1.0,1
GLI2,HAUS5,983,1071,1.0,1
GLI2,HSPA5,983,1127,1.0,1
GLI2,HAUS8,983,1074,1.0,1
GLI2,HAVCR1,983,1075,1.0,1
GLI2,HSPA12B,983,1124,1.0,1
GLI2,HAUS4,983,1070,1.0,1
GLI2,HSP90AB1,983,1122,1.0,1
GLI2,HSP90AA5P,983,1121,1.0,1
GLI2,HSPA1L,983,1125,1.0,1
GLI2,HAUS7,983,1073,1.0,1
GLI2,HAUS6,983,1072,1.0,1
GLI2,HIPK1,983,1089,1.0,1
GLI2,HSPBP1,983,1130,0.98,1
GLI2,HCST,983,1077,1.0,1
GLI2,HSPB11,983,1129,0.98,1
GLI2,HDDC3,983,1080,1.0,1
TULP1,HUWE1,2497,1134,0.98,1
TULP1,HSP90B1,2497,1123,0.98,1
TULP1,HSPA8,2497,1128,0.98,1
TULP1,HSPA4L,2497,1126,0.98,1
TULP1,HSP90AA1,2497,1120,0.98,1
TULP1,HSPA5,2497,1127,0.98,1
TULP1,HSPA12B,2497,1124,0.98,1
TULP1,HSP90AB1,2497,1122,0.98,1
TULP1,HSP90AA5P,2497,1121,0.98,1
TULP1,HTT,2497,1133,0.98,1
TULP1,HSPA1L,2497,1125,0.98,1
TULP1,HSPBP1,2497,1130,0.98,1
TULP1,HSPB11,2497,1129,0.98,1
ANXA1,GTF2H1,103,1048,0.99,1
ANXA1,DNAH7,103,683,0.98,1
ANXA1,HSP90B1,103,1123,1.0,1
ANXA1,GSTA2,103,1044,1.0,1
ANXA1,HSPA8,103,1128,1.0,1
ANXA1,GUCA1C,103,1052,0.99,1
