,Gene,Known PPIs,Novel PPIs,Novel Interactors
167,GSK3B,29,45,"AKAP9, AKT1, APP, CSNK1A1, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, GRXCR1, GSDMA, GSN, GSS, GSTA1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACA, PRKACB, PRKACG, PRKAR1A, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
15,CTNNB1,31,39,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNBIP1, GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HDAC6, HHIP, HIF1A, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACG, PRKAR1A, PRKAR1B, PSD3, PSEN1, PSEN2, YWHAB, YWHAE, YWHAG, YWHAQ, ZBBX"
7,CSNK1E,15,33,"CSHL1, CSNK1A1, CSNK1D, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PARD3, PCM1, PRKACG, PRKAR1A, PRKAR1B, YWHAE, YWHAG, YWHAQ"
54,CSNK1A1,15,33,"CSHL1, CSNK1D, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PARD3, PCM1, PRKACG, PRKAR1A, PRKAR1B, YWHAE, YWHAG, YWHAQ"
154,CSNK1G1,1,33,"CSHL1, CSNK1A1, CSNK1D, CSNK1E, CTD-3148I10.1, CTNNB1, CTNNBIP1, GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PARD3, PCM1, PRKACG, PRKAR1A, PRKAR1B, YWHAE, YWHAG, YWHAQ"
49,CDK5RAP2,3,29,"CDH3, CDHR1, CDHR3, CDK1, CDK11B, CDK20, CDK2AP2, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACA, PRKACB, PRKACG, SPTBN5, SQRDL, SQSTM1, SRGAP3, SRM, SRP72, SRPR"
158,HHIP,0,29,"CTD-3148I10.1, CTNNB1, CTNNBIP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIPL2, HIF1A, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT"
183,HIF1A,12,29,"CTD-3148I10.1, CTNNB1, CTNNBIP1, HAUS5, HAUS6, HAUS7, HAUS8, HAVCR1, HCST, HDAC5, HDAC6, HGS, HHIP, HHIPL2, HIGD1A, HIPK1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, HTT"
43,CSNK1D,11,27,"CSHL1, CSNK1A1, CSNK1E, CSNK1G1, CTD-3148I10.1, CTNNB1, CTNNBIP1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PARD3, PCM1, PRKACG, PRKAR1A, PRKAR1B, YWHAE, YWHAG, YWHAQ"
129,APP,34,24,"APOC1, APOO, AR, GRXCR1, GSDMA, GSK3B, GSN, GSS, GSTA1, HRASLS, HRNR, HSF1, HSP90AA1, HSP90AA2P, HSP90AB1, HSP90B1, HSP90B3P, HSPA1L, HSPA4L, HSPA8, HSPB11, PRKACA, PRKACB, PRKACG"
