Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
HSP90AA1,GO:0005515,PMID:20628368,IPI,UniProtKB:O94826|UniProtKB:Q14653|UniProtKB:Q9UHD2,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20201103,UniProt,,,
HSP90AA1,GO:0005515,PMID:20864032,IPI,UniProtKB:Q9Y4R8,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20151020,UniProt,,,
HSP90AA1,GO:0005515,PMID:20936779,IPI,UniProtKB:P05412,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,GO:0000785,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:P53041,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q02790,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q13451,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q14318,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q9H6T3,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21360678,IPI,UniProtKB:Q9UNE7,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21871133,IPI,UniProtKB:Q16543,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:21988832,IPI,UniProtKB:Q15185,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:22022502,IPI,UniProtKB:O14980,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161011,UniProt,,,
HSP90AA1,GO:0005515,PMID:22022502,IPI,UniProtKB:Q8BK64,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161010,UniProt,,,
HSP90AA1,GO:0005515,PMID:22843495,IPI,UniProtKB:P30304,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170213,UniProt,,,
HSP90AA1,GO:0005515,PMID:23349634,IPI,UniProtKB:O95568,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170523,UniProt,,,
HSP90AA1,GO:0005515,PMID:23349634,IPI,UniProtKB:Q7Z624,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170523,UniProt,,,
HSP90AA1,GO:0005515,PMID:23349634,IPI,UniProtKB:Q96AZ1,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170523,UniProt,,,
HSP90AA1,GO:0005515,PMID:23349634,IPI,UniProtKB:Q9BUU2,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20170523,UniProt,,,
HSP90AA1,GO:0005515,PMID:23414517,IPI,UniProtKB:Q9UHD1,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20240406,IntAct,,,
HSP90AA1,GO:0005515,PMID:23431407,IPI,UniProtKB:P56696,F,Heat shock protein HSP 90-alpha,HSP90A|HSPC1|HSPCA,protein,NCBITaxon:9606,20161011,UniProt,,,
