Gene,term,References,Evidence,,Type_GO,product_name,,type,,Date,,,,
Hsp90ab1,GO:0031396,RGD:1624291,ISO,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20151117,RGD,,,
Hsp90ab1,GO:0031526,PMID:15497505|RGD:2316936,IDA,,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110112,RGD,,,
Hsp90ab1,GO:0031625,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0031625,RGD:1624291,ISO,UniProtKB:P08238,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20180305,RGD,,,
Hsp90ab1,GO:0032435,GO_REF:0000024|RGD:1600115,ISS,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20170224,UniProt,,,
Hsp90ab1,GO:0032435,GO_REF:0000107|RGD:1600115,IEA,UniProtKB:P08238|ensembl:ENSP00000360709,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20240129,Ensembl,,UniProtKB:A0A8L2QEA3,
Hsp90ab1,GO:0032435,RGD:1624291,ISO,UniProtKB:P08238,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20161013,RGD,,,
Hsp90ab1,GO:0032564,PMID:12755697|RGD:724444,IDA,,F,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20110204,RGD,,,
Hsp90ab1,GO:0032880,RGD:1624291,ISO,MGI:96247,P,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20180305,RGD,,,
Hsp90ab1,GO:0032991,RGD:1624291,ISO,MGI:96247,C,heat shock protein 90 alpha family class B member 1,,gene,NCBITaxon:10116,20190628,RGD,,,
